,0
0,Arkansas
1,California
2,Colorado
3,Connecticut
4,Delaware
5,Georgia
6,Idaho
7,Illinois
8,Indiana
9,Iowa
10,Kansas
11,Kentucky
12,Louisiana
13,Maine
14,Massachusetts
15,Missouri
16,Montana
17,Nebraska
18,New Hampshire
19,New Jersey
20,New Mexico
21,New York
22,North Carolina
23,North Dakota
24,Oklahoma
25,Rhode Island
26,South Carolina
27,South Dakota
28,Tennessee
29,Utah
30,Vermont
31,Virginia
32,West Virginia
33,Wisconsin
34,Wyoming
